EMPID,SALARY,HSGPA,PHSCRED,RACE,AGEGRP,HAPRAT,NUMCLD,VACDAY
12520,139,3.13,BD,MEI,56+,1,4,22
12521,58,1.62,TRD,MEI,26-35,3,0,12
12522,112,3.64,DOC,WHT,56+,4,3,15
12523,67,2.02,NON,HSP,18-25,3,2,12
12524,100,2.71,BD,HSP,26-35,5,1,15
12525,135,3.04,BD,BLK,46-55,5,0,16
12526,87,1.23,AA,EAP,26-35,2,2,10
12527,111,3.69,DOC,MEI,56+,2,0,14
12528,138,3.13,MAS,WHT,46-55,3,1,16
12529,97,2.88,BD,BLK,36-45,2,3,15
12530,53,2.23,TRD,WHT,18-25,3,1,13
12531,125,2.81,BD,WHT,46-55,5,2,16
12532,96,2.07,TRD,WHT,36-45,3,3,15
12533,123,3.47,MAS,EAP,36-45,3,2,15
12534,109,2.74,BD,HSP,26-35,3,2,15
12535,140,3.92,MAS,EAP,56+,4,1,17
12536,103,2.65,BD,HSP,46-55,3,2,15
12537,122,2.93,BD,WHT,46-55,3,3,15
12538,129,3.7,BD,WHT,46-55,4,3,16
12539,141,3.9,MAS,EAP,56+,3,2,17
12540,102,2.55,BD,MEI,46-55,4,2,16
12541,100,2.76,BD,WHT,56+,2,0,15
12542,53,1.2,NON,WHT,26-35,1,1,11
12543,84,1.55,AA,WHT,46-55,1,2,14
12544,134,3.97,MAS,WHT,46-55,4,3,16
12545,136,3.3,MAS,WHT,56+,4,4,16
12546,64,1.96,NON,EAP,26-35,2,2,13
12547,58,1.77,TRD,MEI,18-25,4,2,11
12548,70,2.01,NON,HSP,26-35,3,1,11
12549,51,1.62,TRD,WHT,18-25,4,3,10
12550,100,2.86,BD,HSP,26-35,2,1,16
